age_band,sex,n,mean_actual_pmpm,mean_pred_pmpm,mean_p_use_hat,mean_mu_pos_hat,pct_zero_cost
0-17,Female,612,115.50585511982571,160.95282888540575,0.9999999999999998,1931.4339466248696,0.2042483660130719
0-17,Male,627,152.71331738437001,174.39694643120194,0.9999999999999998,2092.763357174424,0.189792663476874
